"Mean","Lower","Upper","CRPS","t","variable","simulation","TrueValue"
62.6641243787112,15.2285596955526,110.09968906187,5.61608993929099,61,"I","Sinusoidal",62
64.8915210599033,16.5102075069594,113.272834612847,5.7893358614527,62,"I","Sinusoidal",67
69.628902331777,19.0323392784231,120.225465385131,6.01594092142319,63,"I","Sinusoidal",68
76.8096797312626,22.9853487881498,130.634010674375,6.35207302187149,64,"I","Sinusoidal",77
86.3651650771593,28.633507650355,144.096822503964,6.86430499259919,65,"I","Sinusoidal",88
98.3428069551229,36.382511914713,160.303101995533,8.1969243255058,66,"I","Sinusoidal",90
112.132067618272,45.9733373084544,178.29079792809,8.75234866889258,67,"I","Sinusoidal",121
126.893037443679,56.8911353753123,196.894939512046,11.4765609973983,68,"I","Sinusoidal",144
142.000103259543,68.7937585708285,215.206447948258,9.49353094559184,69,"I","Sinusoidal",133
153.316258860173,77.7721862678987,228.860331452448,9.32853650528931,70,"I","Sinusoidal",147
158.156164689502,81.3011553029428,235.01117407606,10.901251573869,71,"I","Sinusoidal",145
156.49491336601,79.4384544004216,233.551372331599,10.1940438230714,72,"I","Sinusoidal",167
149.704234383448,73.5559104560867,225.852558310809,9.05405012449821,73,"I","Sinusoidal",152
139.662389147085,65.448753487784,213.876024806387,10.5265944144819,74,"I","Sinusoidal",153
127.461687586092,56.0467818416444,198.87659333054,8.6181161040336,75,"I","Sinusoidal",123
114.396671249948,46.4092167480652,182.384125751831,8.65795684630037,76,"I","Sinusoidal",107
101.337331672622,37.1065685946756,165.568094750569,7.83297899938291,77,"I","Sinusoidal",106
89.8055128474938,29.3081902764944,150.302835418493,7.30061804976307,78,"I","Sinusoidal",93
80.8541683320359,23.6794855916883,138.028851072384,6.76914384101814,79,"I","Sinusoidal",80
74.7805673017723,20.1291888665096,129.431945737035,6.4980592376242,80,"I","Sinusoidal",73
71.8821603604623,18.6247528793594,125.139567841565,7.19965681035361,81,"I","Sinusoidal",64
72.200967249947,19.0148381826847,125.387096317209,7.74493998434608,82,"I","Sinusoidal",62
74.9217920805064,20.4876308844842,129.355953276529,7.35873745844438,83,"I","Sinusoidal",67
79.675133272548,22.872058400971,136.478208144125,8.27163799137009,84,"I","Sinusoidal",90
86.6890900335506,26.7225868352327,146.655593231869,7.09967884974084,85,"I","Sinusoidal",88
96.09831525445,32.5355704190765,159.661060089824,7.96327341876849,86,"I","Sinusoidal",102
107.089566212182,39.8156195724292,174.363512851934,7.99888498570458,87,"I","Sinusoidal",105
118.385841088005,47.5078303528858,189.263851823123,16.1606851454092,88,"I","Sinusoidal",145
129.085883537339,54.8141919192703,203.357575155407,9.17141693310815,89,"I","Sinusoidal",123
138.755670486943,61.2963902940499,216.214950679835,9.26882210695456,90,"I","Sinusoidal",135
144.809893780299,64.3145204604258,225.305267100172,12.405838500141,91,"I","Sinusoidal",128
146.354542132401,62.9784184312774,229.730665833524,10.617648304455,92,"I","Sinusoidal",137
143.029192735841,57.132377557767,228.926007913914,10.7613323942511,93,"I","Sinusoidal",151
136.043987790585,48.5186681049772,223.569307476192,10.6737637567789,94,"I","Sinusoidal",142
126.176949724281,38.8144935597861,213.539405888777,10.944950957906,95,"I","Sinusoidal",134
113.619681366435,29.3360618030211,197.90330092985,10.0854264888354,96,"I","Sinusoidal",110
98.9106382137863,21.4137711543564,176.407505273216,9.14578499913066,97,"I","Sinusoidal",98
83.0226284116171,14.6002646131016,151.444992210133,8.87313566677624,98,"I","Sinusoidal",75
67.2595465058387,0.988970497528086,133.530122514149,7.92612140176023,99,"I","Sinusoidal",70
52.7323134222128,0,142.674037079733,10.4579349593588,100,"I","Sinusoidal",55
0.767293010505577,NA,NA,NA,1,"R","Step change",0.666666666666667
0.805970547277268,0.4771490032772,1.13479209127734,NA,2,"R","Step change",0.666666666666667
0.833939328226509,0.296728432028721,1.3711502244243,NA,3,"R","Step change",0.666666666666667
0.851292453847903,0.199885079147981,1.50269982854782,NA,4,"R","Step change",0.666666666666667
0.858665168412689,0.175508520917982,1.5418218159074,NA,5,"R","Step change",0.666666666666667
0.857100801777895,0.18938338274772,1.52481822080807,NA,6,"R","Step change",0.666666666666667
0.847912070913461,0.21824374573191,1.47758039609501,NA,7,"R","Step change",0.666666666666667
0.832551523190992,0.244777750628127,1.42032529575386,NA,8,"R","Step change",0.666666666666667
0.812504844639141,0.249607444448287,1.37540224482999,NA,9,"R","Step change",0.666666666666667
0.789213206361341,0.237889922306944,1.34053649041574,NA,10,"R","Step change",0.666666666666667
0.764024592486927,0.222755508374916,1.30529367659894,NA,11,"R","Step change",0.666666666666667
0.738169962333382,0.208602091691036,1.26773783297573,NA,12,"R","Step change",0.666666666666667
0.712758465917819,0.194866060680016,1.23065087115562,NA,13,"R","Step change",0.666666666666667
0.688786235673996,0.181600572025189,1.1959718993228,NA,14,"R","Step change",0.666666666666667
0.667154696598256,0.169673018698057,1.16463637449846,NA,15,"R","Step change",0.666666666666667
0.648696221198609,0.159742709997523,1.13764973239969,NA,16,"R","Step change",0.666666666666667
0.634206822373398,0.152441184745553,1.11597246000124,NA,17,"R","Step change",0.666666666666667
0.6244871879421,0.14851712503441,1.10045725084979,NA,18,"R","Step change",0.666666666666667
0.620394788234679,0.143197989638227,1.09759158683113,NA,19,"R","Step change",0.666666666666667
0.622911356987681,0.134689259348576,1.11113345462679,NA,20,"R","Step change",0.666666666666667
0.633231946874559,0.130097942420183,1.13636595132893,NA,21,"R","Step change",0.666666666666667
0.652885128073757,0.131805853106826,1.17396440304069,NA,22,"R","Step change",0.666666666666667
0.683896417431868,0.137369770369393,1.23042306449434,NA,23,"R","Step change",0.666666666666667
0.728992247327226,0.149853550766967,1.30813094388749,NA,24,"R","Step change",0.666666666666667
0.79161177732468,0.168168222567549,1.41505533208181,NA,25,"R","Step change",0.666666666666667
0.871016843384267,0.189899275178384,1.55213441159015,NA,26,"R","Step change",0.666666666666667
0.965869036671456,0.212045372762175,1.71969270058074,NA,27,"R","Step change",0.666666666666667
1.07357005529458,0.229502697992112,1.91763741259704,NA,28,"R","Step change",1.5
1.18960914072907,0.247478665651163,2.13173961580698,NA,29,"R","Step change",1.5
1.30703318151826,0.293919482801433,2.32014688023509,NA,30,"R","Step change",1.5
1.41623261524984,0.369370739978537,2.46309449052115,NA,31,"R","Step change",1.5
1.50528358260223,0.445457157991964,2.5651100072125,NA,32,"R","Step change",1.5
1.57249622169308,0.502696596771427,2.64229584661474,NA,33,"R","Step change",1.5
1.61804805133682,0.530400622002182,2.70569548067146,NA,34,"R","Step change",1.5
1.64348583500508,0.541154389231146,2.74581728077902,NA,35,"R","Step change",1.5
1.65137629914918,0.543965847382203,2.75878675091616,NA,36,"R","Step change",1.5
1.64492974136294,0.549659098576171,2.7402003841497,NA,37,"R","Step change",1.5
1.62766134783568,0.548612022427887,2.70671067324348,NA,38,"R","Step change",1.5
1.60313145302649,0.543931009328399,2.66233189672457,NA,39,"R","Step change",1.5
1.57478073168025,0.542476565832281,2.60708489752822,NA,40,"R","Step change",1.5
1.54585600485734,0.537641105418374,2.55407090429631,NA,41,"R","Step change",1.5
1.51941074514156,0.529507590407919,2.50931389987519,NA,42,"R","Step change",1.5
1.49836177844582,0.522276865991298,2.47444669090034,NA,43,"R","Step change",1.5
1.48558817371231,0.51895509942842,2.45222124799619,NA,44,"R","Step change",1.5
1.48406291243202,0.524687882042291,2.44343794282175,NA,45,"R","Step change",1.5
1.49691026625072,0.549327177022514,2.44449335547892,NA,46,"R","Step change",1.5
1.52715874897879,0.595111877371755,2.45920562058583,NA,47,"R","Step change",1.5
