eta,p,movingaverage,model
0.365,0.0011519438468539154,Raw,EpiFilter
0.366,0.0010713984264316973,Raw,EpiFilter
0.367,0.0009957762656205937,Raw,EpiFilter
0.368,0.00092484231320961,Raw,EpiFilter
0.36900000000000005,0.0008583665825040395,Raw,EpiFilter
0.37,0.0007961246850558991,Raw,EpiFilter
0.371,0.0007378982822766538,Raw,EpiFilter
0.372,0.0006834754603845433,Raw,EpiFilter
0.373,0.0006326510340976739,Raw,EpiFilter
0.374,0.0005852267844474243,Raw,EpiFilter
0.375,0.0005410116360333402,Raw,EpiFilter
0.376,0.000499821778879277,Raw,EpiFilter
0.377,0.00046148073992519745,Raw,EpiFilter
0.378,0.00042581940900628123,Raw,EpiFilter
0.379,0.00039267602396547056,Raw,EpiFilter
0.38,0.00036189611934176244,Raw,EpiFilter
0.38099999999999995,0.0003333324428402604,Raw,EpiFilter
0.382,0.0003068448435556594,Raw,EpiFilter
0.383,0.00028230013568554367,Raw,EpiFilter
0.384,0.0002595719412121749,Raw,EpiFilter
0.385,0.00023854051480318638,Raw,EpiFilter
0.38599999999999995,0.00021909255392530864,Raw,EpiFilter
0.387,0.00020112099693685398,Raw,EpiFilter
0.388,0.0001845248116869614,Raw,EpiFilter
0.389,0.00016920877692880806,Raw,EpiFilter
0.39,0.00015508325863584327,Raw,EpiFilter
0.39099999999999996,0.0001420639831029722,Raw,EpiFilter
0.392,0.0001300718085199501,Raw,EpiFilter
0.39299999999999996,0.00011903249651474836,Raw,EpiFilter
0.394,0.00010887648499216807,Raw,EpiFilter
0.395,9.9538663427207e-5,Raw,EpiFilter
0.396,9.095815161969223e-5,Raw,EpiFilter
0.397,8.3078082774325e-5,Raw,EpiFilter
0.39799999999999996,7.584539163942993e-5,Raw,EpiFilter
0.399,6.921060831620353e-5,Raw,EpiFilter
0.39999999999999997,6.31276582405251e-5,Raw,EpiFilter
0.401,5.755366873890293e-5,Raw,EpiFilter
0.402,5.244878246790723e-5,Raw,EpiFilter
0.40299999999999997,4.777597796638496e-5,Raw,EpiFilter
0.404,4.350089747436129e-5,Raw,EpiFilter
0.40499999999999997,3.9591682109215906e-5,Raw,EpiFilter
0.406,3.6018814429454716e-5,Raw,EpiFilter
0.407,3.275496836857804e-5,Raw,EpiFilter
0.408,2.9774866474617997e-5,Raw,EpiFilter
