k,p,simulation,model,TrueParam,iter
14,0.0,Sinusoidal,EpiEstim,200,2
15,0.0,Sinusoidal,EpiEstim,200,2
16,0.0,Sinusoidal,EpiEstim,200,2
17,0.0,Sinusoidal,EpiEstim,200,2
18,0.0,Sinusoidal,EpiEstim,200,2
19,0.0,Sinusoidal,EpiEstim,200,2
20,0.0,Sinusoidal,EpiEstim,200,2
21,0.0,Sinusoidal,EpiEstim,200,2
22,0.0,Sinusoidal,EpiEstim,200,2
23,0.0,Sinusoidal,EpiEstim,200,2
24,0.0,Sinusoidal,EpiEstim,200,2
25,0.0,Sinusoidal,EpiEstim,200,2
26,0.0,Sinusoidal,EpiEstim,200,2
27,0.0,Sinusoidal,EpiEstim,200,2
28,0.0,Sinusoidal,EpiEstim,200,2
29,0.0,Sinusoidal,EpiEstim,200,2
30,0.0,Sinusoidal,EpiEstim,200,2
1,1.6281477070926116e-73,Sinusoidal,EpiEstim,400,2
2,1.0,Sinusoidal,EpiEstim,400,2
3,6.565176208795275e-100,Sinusoidal,EpiEstim,400,2
4,3.533276366182271e-249,Sinusoidal,EpiEstim,400,2
5,0.0,Sinusoidal,EpiEstim,400,2
6,0.0,Sinusoidal,EpiEstim,400,2
7,0.0,Sinusoidal,EpiEstim,400,2
8,0.0,Sinusoidal,EpiEstim,400,2
9,0.0,Sinusoidal,EpiEstim,400,2
10,0.0,Sinusoidal,EpiEstim,400,2
11,0.0,Sinusoidal,EpiEstim,400,2
12,0.0,Sinusoidal,EpiEstim,400,2
13,0.0,Sinusoidal,EpiEstim,400,2
14,0.0,Sinusoidal,EpiEstim,400,2
15,0.0,Sinusoidal,EpiEstim,400,2
16,0.0,Sinusoidal,EpiEstim,400,2
17,0.0,Sinusoidal,EpiEstim,400,2
18,0.0,Sinusoidal,EpiEstim,400,2
19,0.0,Sinusoidal,EpiEstim,400,2
20,0.0,Sinusoidal,EpiEstim,400,2
21,0.0,Sinusoidal,EpiEstim,400,2
22,0.0,Sinusoidal,EpiEstim,400,2
23,0.0,Sinusoidal,EpiEstim,400,2
24,0.0,Sinusoidal,EpiEstim,400,2
25,0.0,Sinusoidal,EpiEstim,400,2
26,0.0,Sinusoidal,EpiEstim,400,2
27,0.0,Sinusoidal,EpiEstim,400,2
28,0.0,Sinusoidal,EpiEstim,400,2
29,0.0,Sinusoidal,EpiEstim,400,2
30,0.0,Sinusoidal,EpiEstim,400,2
1,3.6832414870214793e-31,Sinusoidal,EpiEstim,800,2
2,1.0,Sinusoidal,EpiEstim,800,2
3,9.207189289871674e-192,Sinusoidal,EpiEstim,800,2
4,0.0,Sinusoidal,EpiEstim,800,2
5,0.0,Sinusoidal,EpiEstim,800,2
6,0.0,Sinusoidal,EpiEstim,800,2
7,0.0,Sinusoidal,EpiEstim,800,2
8,0.0,Sinusoidal,EpiEstim,800,2
9,0.0,Sinusoidal,EpiEstim,800,2
10,0.0,Sinusoidal,EpiEstim,800,2
11,0.0,Sinusoidal,EpiEstim,800,2
12,0.0,Sinusoidal,EpiEstim,800,2
13,0.0,Sinusoidal,EpiEstim,800,2
14,0.0,Sinusoidal,EpiEstim,800,2
15,0.0,Sinusoidal,EpiEstim,800,2
16,0.0,Sinusoidal,EpiEstim,800,2
17,0.0,Sinusoidal,EpiEstim,800,2
18,0.0,Sinusoidal,EpiEstim,800,2
19,0.0,Sinusoidal,EpiEstim,800,2
20,0.0,Sinusoidal,EpiEstim,800,2
21,0.0,Sinusoidal,EpiEstim,800,2
22,0.0,Sinusoidal,EpiEstim,800,2
23,0.0,Sinusoidal,EpiEstim,800,2
24,0.0,Sinusoidal,EpiEstim,800,2
25,0.0,Sinusoidal,EpiEstim,800,2
26,0.0,Sinusoidal,EpiEstim,800,2
27,0.0,Sinusoidal,EpiEstim,800,2
28,0.0,Sinusoidal,EpiEstim,800,2
29,0.0,Sinusoidal,EpiEstim,800,2
30,0.0,Sinusoidal,EpiEstim,800,2
1,1.0,Sinusoidal,EpiEstim,1600,2
2,1.1655723968095056e-53,Sinusoidal,EpiEstim,1600,2
3,0.0,Sinusoidal,EpiEstim,1600,2
4,0.0,Sinusoidal,EpiEstim,1600,2
5,0.0,Sinusoidal,EpiEstim,1600,2
6,0.0,Sinusoidal,EpiEstim,1600,2
7,0.0,Sinusoidal,EpiEstim,1600,2
8,0.0,Sinusoidal,EpiEstim,1600,2
9,0.0,Sinusoidal,EpiEstim,1600,2
10,0.0,Sinusoidal,EpiEstim,1600,2
11,0.0,Sinusoidal,EpiEstim,1600,2
12,0.0,Sinusoidal,EpiEstim,1600,2
13,0.0,Sinusoidal,EpiEstim,1600,2
14,0.0,Sinusoidal,EpiEstim,1600,2
15,0.0,Sinusoidal,EpiEstim,1600,2
16,0.0,Sinusoidal,EpiEstim,1600,2
17,0.0,Sinusoidal,EpiEstim,1600,2
18,0.0,Sinusoidal,EpiEstim,1600,2
19,0.0,Sinusoidal,EpiEstim,1600,2
20,0.0,Sinusoidal,EpiEstim,1600,2
21,0.0,Sinusoidal,EpiEstim,1600,2
22,0.0,Sinusoidal,EpiEstim,1600,2
23,0.0,Sinusoidal,EpiEstim,1600,2
24,0.0,Sinusoidal,EpiEstim,1600,2
25,0.0,Sinusoidal,EpiEstim,1600,2
26,0.0,Sinusoidal,EpiEstim,1600,2
27,0.0,Sinusoidal,EpiEstim,1600,2
28,0.0,Sinusoidal,EpiEstim,1600,2
29,0.0,Sinusoidal,EpiEstim,1600,2
30,0.0,Sinusoidal,EpiEstim,1600,2
1,1.0,Sinusoidal,EpiEstim,3200,2
2,1.6764849694301125e-247,Sinusoidal,EpiEstim,3200,2
3,0.0,Sinusoidal,EpiEstim,3200,2
4,0.0,Sinusoidal,EpiEstim,3200,2
5,0.0,Sinusoidal,EpiEstim,3200,2
6,0.0,Sinusoidal,EpiEstim,3200,2
7,0.0,Sinusoidal,EpiEstim,3200,2
8,0.0,Sinusoidal,EpiEstim,3200,2
9,0.0,Sinusoidal,EpiEstim,3200,2
10,0.0,Sinusoidal,EpiEstim,3200,2
11,0.0,Sinusoidal,EpiEstim,3200,2
12,0.0,Sinusoidal,EpiEstim,3200,2
13,0.0,Sinusoidal,EpiEstim,3200,2
14,0.0,Sinusoidal,EpiEstim,3200,2
15,0.0,Sinusoidal,EpiEstim,3200,2
16,0.0,Sinusoidal,EpiEstim,3200,2
17,0.0,Sinusoidal,EpiEstim,3200,2
18,0.0,Sinusoidal,EpiEstim,3200,2
19,0.0,Sinusoidal,EpiEstim,3200,2
20,0.0,Sinusoidal,EpiEstim,3200,2
21,0.0,Sinusoidal,EpiEstim,3200,2
22,0.0,Sinusoidal,EpiEstim,3200,2
23,0.0,Sinusoidal,EpiEstim,3200,2
24,0.0,Sinusoidal,EpiEstim,3200,2
25,0.0,Sinusoidal,EpiEstim,3200,2
26,0.0,Sinusoidal,EpiEstim,3200,2
27,0.0,Sinusoidal,EpiEstim,3200,2
28,0.0,Sinusoidal,EpiEstim,3200,2
29,0.0,Sinusoidal,EpiEstim,3200,2
30,0.0,Sinusoidal,EpiEstim,3200,2
1,1.73078481304683e-60,Sinusoidal,EpiEstim,25,3
2,0.09229678376146042,Sinusoidal,EpiEstim,25,3
3,0.9074944071536982,Sinusoidal,EpiEstim,25,3
4,0.00020880908481310555,Sinusoidal,EpiEstim,25,3
5,2.841106620768929e-14,Sinusoidal,EpiEstim,25,3
6,2.74083429901379e-25,Sinusoidal,EpiEstim,25,3
7,2.475582650971701e-37,Sinusoidal,EpiEstim,25,3
8,1.5572122649096486e-48,Sinusoidal,EpiEstim,25,3
9,7.352612947461823e-60,Sinusoidal,EpiEstim,25,3
10,1.00598276821154e-69,Sinusoidal,EpiEstim,25,3
11,1.6163278805036774e-78,Sinusoidal,EpiEstim,25,3
12,6.238874237614704e-85,Sinusoidal,EpiEstim,25,3
13,6.453916142516144e-90,Sinusoidal,EpiEstim,25,3
