t,swll,k,simulation
45,-8.172912323838034,21,Step-change
46,-3.322065295166965,21,Step-change
47,-3.9902571385806027,21,Step-change
48,-4.069509712733463,21,Step-change
49,-3.568255942243013,21,Step-change
50,-3.505444712958308,21,Step-change
51,-3.4880781397912415,21,Step-change
52,-4.290113510206197,21,Step-change
53,-3.913119508158161,21,Step-change
54,-4.41084718479226,21,Step-change
55,-3.6284562436330816,21,Step-change
56,-43.371178748224,21,Step-change
57,-48.86388716562254,21,Step-change
58,-28.527849477479492,21,Step-change
59,-29.500209117699512,21,Step-change
60,-26.09196879001098,21,Step-change
61,-15.916256839052323,21,Step-change
62,-16.604734447129317,21,Step-change
63,-14.975605164776823,21,Step-change
64,-17.033195845046805,21,Step-change
65,-8.637928963381114,21,Step-change
66,-8.933028780804307,21,Step-change
67,-8.343407624118868,21,Step-change
68,-6.750949801296201,21,Step-change
69,-6.240466136721125,21,Step-change
70,-3.8568260857778682,21,Step-change
71,-5.219696667896187,21,Step-change
72,-3.8396627051387213,21,Step-change
73,-3.6959234530119147,21,Step-change
74,-3.7538592130601955,21,Step-change
75,-3.7569209508091888,21,Step-change
76,-2.9153384975880385,21,Step-change
77,-3.0917623065628845,21,Step-change
78,-3.1544990559227983,21,Step-change
79,-3.252874259993405,21,Step-change
80,-3.046006641975083,21,Step-change
81,-2.6850928665716083,21,Step-change
82,-2.9778086286993073,21,Step-change
83,-2.670610861088079,21,Step-change
84,-13.065760387510238,21,Step-change
85,-16.02832091682265,21,Step-change
86,-18.806326992883328,21,Step-change
87,-13.595598769238393,21,Step-change
88,-21.03751655980585,21,Step-change
89,-17.180989365023834,21,Step-change
90,-19.882984566234427,21,Step-change
91,-10.227017835260654,21,Step-change
92,-10.379631015493999,21,Step-change
93,-6.946913262318844,21,Step-change
94,-7.925861352194033,21,Step-change
95,-8.102607387473768,21,Step-change
96,-4.9463260531225615,21,Step-change
97,-4.852551136961438,21,Step-change
98,-8.828612139712504,21,Step-change
99,-3.854259452325664,21,Step-change
100,-3.851636162359682,21,Step-change
1,0.0,22,Step-change
2,0.0,22,Step-change
3,-24.53871319416467,22,Step-change
4,-16.945955093069472,22,Step-change
5,-10.481233086589725,22,Step-change
6,-7.843145422593267,22,Step-change
7,-6.804136415456753,22,Step-change
8,-3.464270218348531,22,Step-change
9,-5.445820269314737,22,Step-change
10,-3.1326616103146137,22,Step-change
11,-4.75497752207869,22,Step-change
12,-3.481906107851785,22,Step-change
13,-4.761811446885076,22,Step-change
14,-6.583716268272383,22,Step-change
15,-3.5934508685707556,22,Step-change
16,-3.9351179662491518,22,Step-change
17,-3.8553910925885475,22,Step-change
18,-3.795372165265263,22,Step-change
19,-3.3205139981858167,22,Step-change
20,-4.747537217261268,22,Step-change
21,-4.367178116596591,22,Step-change
22,-2.87204880498858,22,Step-change
23,-3.069494514310307,22,Step-change
24,-2.7644608824388825,22,Step-change
25,-2.768117811527077,22,Step-change
26,-2.855472369907133,22,Step-change
27,-3.653887854278949,22,Step-change
28,-4.334704736796326,22,Step-change
29,-18.406502533588593,22,Step-change
30,-9.784040664953807,22,Step-change
31,-7.704885010840314,22,Step-change
32,-10.858850351542117,22,Step-change
33,-9.324037806488349,22,Step-change
34,-8.402451915708554,22,Step-change
35,-7.476670641737371,22,Step-change
36,-4.648891893518453,22,Step-change
