k,p,simulation,model,TrueParam,iter
27,0.0,Sinusoidal,EpiEstim,30,2
28,0.0,Sinusoidal,EpiEstim,30,2
29,0.0,Sinusoidal,EpiEstim,30,2
30,0.0,Sinusoidal,EpiEstim,30,2
1,2.3193698427876722e-90,Sinusoidal,EpiEstim,35,2
2,0.9999983118123688,Sinusoidal,EpiEstim,35,2
3,1.688187631168437e-6,Sinusoidal,EpiEstim,35,2
4,2.877560217235542e-19,Sinusoidal,EpiEstim,35,2
5,2.4134776127214495e-39,Sinusoidal,EpiEstim,35,2
6,8.799955671509438e-62,Sinusoidal,EpiEstim,35,2
7,4.2317190244131233e-88,Sinusoidal,EpiEstim,35,2
8,9.504839260954617e-117,Sinusoidal,EpiEstim,35,2
9,3.760652985083886e-149,Sinusoidal,EpiEstim,35,2
10,2.5307199864317544e-182,Sinusoidal,EpiEstim,35,2
11,3.22314825100891e-216,Sinusoidal,EpiEstim,35,2
12,4.606649006658242e-249,Sinusoidal,EpiEstim,35,2
13,3.269578063984122e-280,Sinusoidal,EpiEstim,35,2
14,1.21904828514504e-310,Sinusoidal,EpiEstim,35,2
15,0.0,Sinusoidal,EpiEstim,35,2
16,0.0,Sinusoidal,EpiEstim,35,2
17,0.0,Sinusoidal,EpiEstim,35,2
18,0.0,Sinusoidal,EpiEstim,35,2
19,0.0,Sinusoidal,EpiEstim,35,2
20,0.0,Sinusoidal,EpiEstim,35,2
21,0.0,Sinusoidal,EpiEstim,35,2
22,0.0,Sinusoidal,EpiEstim,35,2
23,0.0,Sinusoidal,EpiEstim,35,2
24,0.0,Sinusoidal,EpiEstim,35,2
25,0.0,Sinusoidal,EpiEstim,35,2
26,0.0,Sinusoidal,EpiEstim,35,2
27,0.0,Sinusoidal,EpiEstim,35,2
28,0.0,Sinusoidal,EpiEstim,35,2
29,0.0,Sinusoidal,EpiEstim,35,2
30,0.0,Sinusoidal,EpiEstim,35,2
1,1.1347832162987119e-95,Sinusoidal,EpiEstim,40,2
2,0.9999873968100977,Sinusoidal,EpiEstim,40,2
3,1.2603189902093255e-5,Sinusoidal,EpiEstim,40,2
4,1.3260056838808375e-16,Sinusoidal,EpiEstim,40,2
5,4.2028003856986226e-32,Sinusoidal,EpiEstim,40,2
6,2.7045201013369232e-50,Sinusoidal,EpiEstim,40,2
7,8.300267777905765e-72,Sinusoidal,EpiEstim,40,2
8,4.434891149244702e-96,Sinusoidal,EpiEstim,40,2
9,4.576318783171541e-123,Sinusoidal,EpiEstim,40,2
10,4.780060630704359e-150,Sinusoidal,EpiEstim,40,2
11,1.3026260504697046e-177,Sinusoidal,EpiEstim,40,2
12,3.291566941563607e-206,Sinusoidal,EpiEstim,40,2
13,2.625228887622383e-233,Sinusoidal,EpiEstim,40,2
14,2.0431012350499094e-259,Sinusoidal,EpiEstim,40,2
15,2.8400783428025125e-285,Sinusoidal,EpiEstim,40,2
16,1.156659651966237e-309,Sinusoidal,EpiEstim,40,2
