eta,p,simulation,model
0.363,1.2266094093648596e-7,Random walk,EpiFilter
0.36400000000000005,1.1099102967029123e-7,Random walk,EpiFilter
0.365,1.0042674218695237e-7,Random walk,EpiFilter
0.366,9.086403654504084e-8,Random walk,EpiFilter
0.367,8.220856530139525e-8,Random walk,EpiFilter
0.368,7.437478449452478e-8,Random walk,EpiFilter
0.36900000000000005,6.728514300498095e-8,Random walk,EpiFilter
0.37,6.086934522340492e-8,Random walk,EpiFilter
0.371,5.5063680558593466e-8,Random walk,EpiFilter
0.372,4.981041386834799e-8,Random walk,EpiFilter
0.373,4.505723140352789e-8,Random walk,EpiFilter
0.374,4.075673732082643e-8,Random walk,EpiFilter
0.375,3.686599624717233e-8,Random walk,EpiFilter
0.376,3.3346117770184395e-8,Random walk,EpiFilter
0.377,3.0161879088454135e-8,Random walk,EpiFilter
0.378,2.7281382384593957e-8,Random walk,EpiFilter
0.379,2.467574378535946e-8,Random walk,EpiFilter
0.38,2.231881104924466e-8,Random walk,EpiFilter
0.38099999999999995,2.0186907374339363e-8,Random walk,EpiFilter
0.382,1.8258598950399954e-8,Random walk,EpiFilter
0.383,1.6514484090215878e-8,Random walk,EpiFilter
0.384,1.4937001968342723e-8,Random walk,EpiFilter
0.385,1.35102591716797e-8,Random walk,EpiFilter
0.38599999999999995,1.2219872427263195e-8,Random walk,EpiFilter
0.387,1.105282601986744e-8,Random walk,EpiFilter
0.388,9.99734254593798e-9,Random walk,EpiFilter
0.389,9.042765772819821e-9,Random walk,EpiFilter
0.39,8.179454483861064e-9,Random walk,EpiFilter
0.39099999999999996,7.398686291681362e-9,Random walk,EpiFilter
0.392,6.692570494495941e-9,Random walk,EpiFilter
0.39299999999999996,6.053969134996807e-9,Random walk,EpiFilter
0.394,5.476425498085267e-9,Random walk,EpiFilter
0.395,4.954099353775919e-9,Random walk,EpiFilter
0.396,4.4817083154080725e-9,Random walk,EpiFilter
0.397,4.054474741236787e-9,Random walk,EpiFilter
0.39799999999999996,3.6680776602224685e-9,Random walk,EpiFilter
0.399,3.318609250891096e-9,Random walk,EpiFilter
0.39999999999999997,3.002535445696668e-9,Random walk,EpiFilter
0.401,2.716660273024408e-9,Random walk,EpiFilter
0.402,2.4580935849835663e-9,Random walk,EpiFilter
0.40299999999999997,2.2242218519103e-9,Random walk,EpiFilter
0.404,2.0126817342328807e-9,Random walk,EpiFilter
0.40499999999999997,1.821336169377047e-9,Random walk,EpiFilter
0.406,1.6482527359122868e-9,Random walk,EpiFilter
0.407,1.4916840794124444e-9,Random walk,EpiFilter
0.408,1.3500502047137462e-9,Random walk,EpiFilter
0.40900000000000003,1.2219224575901572e-9,Random walk,EpiFilter
0.41,1.1060090355205492e-9,Random walk,EpiFilter
0.41100000000000003,1.0011418822918973e-9,Random walk,EpiFilter
0.412,9.062648348973577e-10,Random walk,EpiFilter
0.413,8.204229035796806e-10,Random walk,EpiFilter
0.41400000000000003,7.427525771497443e-10,Random walk,EpiFilter
0.415,6.724730558837365e-10,Random walk,EpiFilter
0.41600000000000004,6.088783235776036e-10,Random walk,EpiFilter
0.417,5.513299786955026e-10,Random walk,EpiFilter
0.418,4.992507521591823e-10,Random walk,EpiFilter
0.419,4.5211864618965576e-10,Random walk,EpiFilter
0.42,4.094616348568156e-10,Random walk,EpiFilter
0.42100000000000004,3.708528726281801e-10,Random walk,EpiFilter
0.422,3.3590636232290116e-10,Random walk,EpiFilter
0.42300000000000004,3.042730385068841e-10,Random walk,EpiFilter
0.424,2.756372265511809e-10,Random walk,EpiFilter
0.425,2.497134413752171e-10,Random walk,EpiFilter
0.426,2.2624349332606398e-10,Random walk,EpiFilter
0.427,2.0499387175652463e-10,Random walk,EpiFilter
0.42800000000000005,1.8575337967578058e-10,Random walk,EpiFilter
0.429,1.6833099539409882e-10,Random walk,EpiFilter
0.43,1.5255393938519706e-10,Random walk,EpiFilter
0.431,1.3826592667511823e-10,Random walk,EpiFilter
0.432,1.2532558695183574e-10,Random walk,EpiFilter
0.43300000000000005,1.1360503629505216e-10,Random walk,EpiFilter
0.434,1.0298858597016766e-10,Random walk,EpiFilter
0.435,9.337157512478814e-11,Random walk,EpiFilter
