k,p,simulation,model,TrueParam,iter
11,0.0,Random walk,EpiEstim,0.25,2
12,0.0,Random walk,EpiEstim,0.25,2
13,0.0,Random walk,EpiEstim,0.25,2
14,0.0,Random walk,EpiEstim,0.25,2
15,0.0,Random walk,EpiEstim,0.25,2
16,0.0,Random walk,EpiEstim,0.25,2
17,0.0,Random walk,EpiEstim,0.25,2
18,0.0,Random walk,EpiEstim,0.25,2
19,0.0,Random walk,EpiEstim,0.25,2
20,0.0,Random walk,EpiEstim,0.25,2
21,0.0,Random walk,EpiEstim,0.25,2
22,0.0,Random walk,EpiEstim,0.25,2
23,0.0,Random walk,EpiEstim,0.25,2
24,0.0,Random walk,EpiEstim,0.25,2
25,0.0,Random walk,EpiEstim,0.25,2
26,0.0,Random walk,EpiEstim,0.25,2
27,0.0,Random walk,EpiEstim,0.25,2
28,0.0,Random walk,EpiEstim,0.25,2
29,0.0,Random walk,EpiEstim,0.25,2
30,0.0,Random walk,EpiEstim,0.25,2
1,1.0,Random walk,EpiEstim,0.3,2
2,4.410890874076587e-62,Random walk,EpiEstim,0.3,2
3,3.5317571870636785e-196,Random walk,EpiEstim,0.3,2
4,0.0,Random walk,EpiEstim,0.3,2
5,0.0,Random walk,EpiEstim,0.3,2
6,0.0,Random walk,EpiEstim,0.3,2
7,0.0,Random walk,EpiEstim,0.3,2
8,0.0,Random walk,EpiEstim,0.3,2
9,0.0,Random walk,EpiEstim,0.3,2
10,0.0,Random walk,EpiEstim,0.3,2
11,0.0,Random walk,EpiEstim,0.3,2
12,0.0,Random walk,EpiEstim,0.3,2
13,0.0,Random walk,EpiEstim,0.3,2
14,0.0,Random walk,EpiEstim,0.3,2
